"Timestamp";"CO2.ppm.";"airtemp.in.degreeC.";"humidity.in.rH.";"pressure.in.mbar.";"airtemp.out.degreeC.";"humidity.out.rH.";"pressure.out.mbar.";"PAR.umol.m.2s.1.";"H2O.temp.degreeC."
"03.03.23 23:44:37.93787";346.83707;27.651788;99.077076;1007.63397;25.668815;95.941146;1006.8786;0;28.526533
"03.03.23 23:44:37.543945";347.203286;27.657281;99.074024;1007.61108;25.663322;95.950302;1006.87097;0;28.523479
"03.03.23 23:44:37.994102";345.677386;27.660943;99.078602;1007.6416;25.670646;95.951828;1006.86334;0;28.523479
"03.03.23 23:44:38.444269";344.822882;27.653619;99.077076;1007.74079;25.676139;95.944198;1006.86334;0;28.523479
"03.03.23 23:44:38.894419";344.944954;27.666436;99.06792;1007.60345;25.665153;95.94725;1006.84045;0;28.517371
"03.03.23 23:44:39.344577";345.280652;27.638971;99.078602;1007.60345;25.67797;95.944198;1006.88623;0;28.525006
"03.03.23 23:44:39.794732";344.792364;27.657281;99.072498;1007.61108;25.676139;95.951828;1006.88623;0;28.525006
"03.03.23 23:44:40.244889";342.839212;27.653619;99.077076;1007.65686;25.67797;95.945724;1006.86334;0;28.515844
"03.03.23 23:44:40.695050";343.296982;27.662774;99.07555;1007.58819;25.67797;95.941146;1006.87097;0;28.523479
"03.03.23 23:44:41.145209";342.930766;27.65545;99.061816;1007.72553;25.655998;95.94725;1006.85571;0;28.514317
"03.03.23 23:44:41.595366";342.778176;27.648126;99.074024;1007.62634;25.65966;95.942672;1006.89386;0;28.526533
"03.03.23 23:44:42.45525";342.228852;27.657281;99.074024;1007.55004;25.65966;95.941146;1006.90149;0;28.523479
"03.03.23 23:44:42.495680";342.228852;27.657281;99.077076;1007.60345;25.668815;95.94725;1006.8786;0;28.518898
"03.03.23 23:44:42.945839";341.740564;27.646295;99.077076;1007.55767;25.666984;95.944198;1006.89386;0;28.521952
"03.03.23 23:44:43.395995";341.679528;27.651788;99.066394;1007.63397;25.657829;95.948776;1006.84808;0;28.51279
"03.03.23 23:44:43.846156";340.763988;27.648126;99.07555;1007.52715;25.661491;95.948776;1006.90149;0;28.523479
"03.03.23 23:44:44.296318";339.81793;27.65545;99.077076;1007.45848;25.672477;95.945724;1006.74889;0;28.523479
"03.03.23 23:44:44.746470";339.756894;27.666436;99.077076;1007.52715;25.681632;95.94725;1006.8786;0;28.517371
"03.03.23 23:44:45.196626";340.245182;27.653619;99.077076;1007.43559;25.670646;95.942672;1006.88623;0;28.520425
"03.03.23 23:44:45.646783";340.031556;27.659112;99.066394;1007.46611;25.665153;95.94725;1006.84045;0;28.514317
"03.03.23 23:44:46.96942";337.742706;27.65545;99.072498;1007.42796;25.670646;95.948776;1006.87097;0;28.523479
"03.03.23 23:44:46.547100";338.017368;27.723197;99.070972;1007.37455;25.670646;95.948776;1006.89386;0;28.517371
