"Timestamp";"CO2.ppm.";"airtemp.in.degreeC.";"humidity.in.rH.";"pressure.in.mbar.";"airtemp.out.degreeC.";"humidity.out.rH.";"pressure.out.mbar.";"PAR.umol.m.2s.1.";"H2O.temp.degreeC."
"10.03.23 15:51:37.797465";363.133682;28.611232;87.436748;1007.03883;28.616725;83.51798;1005.38312;359.135824;25.745866
"10.03.23 15:51:38.247636";362.431768;28.609401;87.984582;1007.37455;28.605739;83.54087;1005.43653;359.19686;25.747393
"10.03.23 15:51:38.697781";362.645394;28.605739;87.99679;1006.76415;28.614894;83.531714;1005.48994;373.54032;25.895512
"10.03.23 15:51:39.147937";362.950574;28.602077;87.987634;1007.3364;28.605739;83.536292;1005.43653;376.531084;25.897039
"10.03.23 15:51:39.598096";363.01161;28.60757;88.01968;1006.91675;28.60757;83.536292;1005.48231;420.660112;25.889404
"10.03.23 15:51:40.48255";362.645394;28.596584;88.648392;1007.09224;28.605739;83.528662;1005.39838;454.901308;25.897039
"10.03.23 15:51:40.498413";362.767466;28.605739;88.636184;1007.31351;28.598415;83.539344;1005.3526;458.319324;25.889404
"10.03.23 15:51:40.948576";363.072646;28.609401;88.648392;1006.96253;28.596584;83.534766;1005.43653;465.155356;26.1154
"10.03.23 15:51:41.398727";362.70643;28.609401;89.234376;1007.32877;28.600246;83.539344;1005.43653;469.305804;26.116927
"10.03.23 15:51:41.848884";362.675912;28.609401;89.23285;1007.22195;28.600246;83.545448;1005.40601;443.548612;26.109292
"10.03.23 15:51:42.299042";363.042128;28.613063;89.237428;1007.23721;28.620387;83.53324;1005.48994;463.385312;26.118454
"10.03.23 15:51:42.749198";362.767466;28.620387;89.23285;1007.36692;28.611232;83.54087;1005.39838;459.540044;26.113873
"10.03.23 15:51:43.199356";362.767466;28.697289;89.82036;1007.24484;28.622218;83.545448;1005.47468;459.479008;26.19175
"10.03.23 15:51:43.649515";363.133682;28.708275;89.817308;1007.22958;28.620387;83.545448;1005.5052;457.647928;26.190223
"10.03.23 15:51:44.99670";363.103164;28.706444;89.81273;1007.39744;28.613063;83.5485;1005.45942;455.999956;26.187169
"10.03.23 15:51:44.549830";362.797984;28.695458;89.814256;1006.73363;28.614894;83.539344;1005.47468;456.122028;26.193277
"10.03.23 15:51:44.999985";362.767466;28.713768;90.388032;1007.4127;28.60757;83.543922;1005.45942;457.892072;26.19175
"10.03.23 15:51:45.450145";363.133682;28.700951;90.395662;1007.09224;28.611232;83.545448;1005.47468;455.389596;26.413165
"10.03.23 15:51:45.900302";362.797984;28.704613;90.394136;1006.73363;28.60757;83.543922;1005.5052;460.21144;26.413165
"10.03.23 15:51:46.350460";362.70643;28.704613;90.39261;1007.42796;28.609401;83.5485;1005.44416;458.014144;26.402476
"10.03.23 15:51:46.800623";363.1642;28.691796;90.906872;1006.83282;28.618556;83.539344;1005.45179;459.540044;26.411638
"10.03.23 15:51:47.250775";362.920056;28.69912;90.894664;1006.83282;28.614894;83.553078;1005.44416;461.188016;26.411638
"10.03.23 15:51:47.700932";362.767466;28.69912;90.908398;1006.81756;28.616725;83.550026;1005.5052;458.868648;26.483407
"10.03.23 15:51:48.151087";364.018704;28.706444;90.906872;1007.42796;28.620387;83.539344;1005.49757;461.676304;26.484934
"10.03.23 15:51:48.601245";364.140776;28.783346;91.413504;1006.12323;28.611232;83.546974;1005.48994;458.38036;26.471191
"10.03.23 15:51:49.51406";363.805078;28.77236;91.41503;1007.34403;28.620387;83.536292;1005.48231;461.73734;26.484934
"10.03.23 15:51:49.501566";363.683006;28.781515;91.411978;1007.26773;28.605739;83.5485;1005.45942;456.427208;26.513947
"10.03.23 15:51:49.951720";364.23233;28.785177;91.782796;1006.16901;28.616725;83.543922;1005.47468;459.784188;26.629999
"10.03.23 15:51:50.401877";363.92715;28.787008;91.784322;1007.95443;28.708275;84.056658;1005.51283;458.441396;26.633053
"10.03.23 15:51:50.852032";363.744042;28.781515;91.775166;1006.1156;28.688134;84.061236;1005.44416;453.558516;26.622364
"10.03.23 15:51:51.302193";364.201812;28.776022;91.779744;1007.35929;28.708275;84.05208;1005.49757;463.26324;26.631526
"10.03.23 15:51:51.752347";364.07974;28.787008;92.149036;1006.76415;28.700951;84.05971;1005.42127;432.012808;26.776591
"10.03.23 15:51:52.202510";364.812172;28.792501;92.149036;1007.29062;28.704613;84.43358;1005.47468;466.9254;26.775064
"10.03.23 15:51:52.652662";364.934244;28.788839;92.150562;1007.29062;28.706444;84.432054;1005.45179;430.242764;26.776591
"10.03.23 15:51:53.102823";365.025798;28.79067;92.13988;1006.55051;28.693627;84.432054;1005.40601;458.929684;26.765902
"10.03.23 15:51:53.552978";364.873208;28.869403;92.51375;1007.07698;28.702782;84.42595;1005.46705;451.05604;26.775064
"10.03.23 15:51:54.3138";364.751136;28.869403;92.509172;1006.65733;28.702782;84.877646;1005.4289;445.440728;26.775064
"10.03.23 15:51:54.453293";365.208906;28.874896;92.51375;1007.14565;28.700951;84.879172;1005.47468;455.32856;26.776591
"10.03.23 15:51:54.903454";365.086834;28.873065;92.51375;1006.6497;28.697289;84.874594;1005.48231;429.937584;26.775064
"10.03.23 15:51:55.353618";364.629064;28.880389;92.774696;1007.16091;28.697289;85.002778;1005.40601;451.300184;26.765902
"10.03.23 15:51:55.803768";365.636158;28.867572;92.785378;1006.76415;28.706444;85.022616;1005.43653;436.71258;26.776591
"10.03.23 15:51:56.253923";366.093928;28.874896;92.7808;1006.8023;28.700951;85.027194;1005.45179;448.187348;26.994952
"10.03.23 15:51:56.704083";365.849784;28.869403;92.782326;1007.1838;28.702782;85.022616;1005.45179;446.600412;26.993425
"10.03.23 15:51:57.154241";365.849784;28.873065;93.14704;1006.31398;28.706444;85.018038;1005.43653;447.760096;26.993425
"10.03.23 15:51:57.604398";366.06341;28.880389;93.137884;1007.19906;28.686303;85.030246;1005.34497;454.229912;26.98579
"10.03.23 15:51:58.54559";366.948432;28.873065;93.148566;1006.71074;28.686303;85.019564;1005.41364;446.112124;26.996479
"10.03.23 15:51:58.504711";366.765324;28.876727;93.148566;1006.97779;28.702782;85.027194;1005.4289;454.535092;27.066721
"10.03.23 15:51:58.954867";367.162058;28.959122;93.363732;1006.98542;28.691796;85.027194;1005.39838;446.112124;27.065194
